"NetCashOps" "NCF.pf" "TotalProperties" "Presence"
595265 115345.51 17 "1"
3522244 549481.3 18 "0"
329462 59517 18 "1"
565418 56156 20 "1"
6161743 1801059.82 69 "1"
6973705 1151938.2 73 "1"
15204008 1264993 73 "1"
10529816 2370468.61 73 "1"
7693593 1724223.32 75 "1"
10626791 3556031.53 84 "1"
2837860 3242896.6 88 "1"
6827482 4929508.26 89 "1"
2029382 -380859.44 6 "1"
672704 310738.46 23 "0"
322145 103493 24 "0"
2007191 705853.72 25 "0"
1738022 497338 25 "0"
167937 372256 26 "0"
655487 822229.63 28 "0"
1929799 721161.11 29 "0"
400457 789511.35 33 "0"
654769 79032.67 15 "1"
328580 153455 11 "1"
601983 50684 10 "1"
609745 421527 10 "0"
421333 345196 10 "1"
298532 349098 10 "1"
342969 300795 10 "1"
443509 243223 13 "1"
5345872 -439.689999999996 23 "0"
2589893 347427.16 31 "1"
4415072 466663.58 33 "1"
512344 350997.82 37 "1"
282429 473664.06 35 "1"
3277329 500540.5 37 "0"
491429 -65732 13 "1"
719677 122798 12 "1"
1547350 5511 12 "1"
1529212 24678 15 "1"
1957643 12174 15 "1"
1719971 113427 17 "1"
1592245 4842 17 "1"
237405 157203.49 1 "0"
392257 195066.37 1 "0"
393370 157103.08 2 "0"
505528 16783 2 "0"
219932 19829.93 2 "0"
702152 405016 8 "1"
759224 -80750 8 "0"
1694266 169439 9 "0"
1749529 334369.69 9 "1"
1717507 1340547.56 10 "0"
1636803 674175.56 10 "0"
3353267 982489.01 10 "0"
3255134 69551.12 2 "0"
941835 26386 2 "0"
306243 46804.04 3 "0"
875591 164498.86 7 "1"
574536 586360 15 "1"
109209 -115006 15 "1"
466697.31 -44358 13 "1"
1881518 1842449.73 15 "1"
-304682 -18610.35 2 "0"
90799 11141.53 3 "0"
886064 -9760.87 3 "0"
305868 -15836.08 6 "0"
1161193 688621.38 8 "1"
992143 504461 8 "1"
998111 503993.24 8 "1"
598605 -2189258 8 "1"
-1071427 87805.83 12 "1"
2760229 22316.71 15 "0"
172457 -3253.99 8 "0"
726604 55171.94 7 "0"
455301 468441.47 32 "1"
1303644 491672.57 32 "1"
406459 446172.15 32 "0"
1518258 459526.8 33 "0"
858149 527049 34 "0"
3157680 1858491 21 "1"
2786180 1252929.86 23 "1"
4491198 1166186.49 23 "1"
3763867 1685391.54 21 "1"
8383226 1523579.49 23 "1"
7190104 1059711.53 23 "1"
1456263 2419585.64 24 "1"
2258764 794970.23 51 "1"
1450525 1221372.85 59 "1"
4938489 195863.85 60 "1"
1118631 2086018 63 "1"
2677564 1128020.54 58 "1"
4821384 710123.58 60 "1"
9276608 1296043.07 64 "1"
48804 166375.21 7 "1"
204699 32550 7 "1"
-49983 8888 7 "1"
633338 -203195 7 "1"
1458818 -465541 7 "1"
421903 74623 7 "0"
414530 -45395 7 "0"
-565173 564474 3 "0"
1421087 -27492 15 "1"
851877 429347 15 "1"
47769 678621 14 "1"
1049429 562007 15 "1"
-1169425 1367226 12 "1"
124830 1327769 12 "1"
939437 166627.81 13 "0"
302654 145328.86 14 "0"
1806552 178365.72 16 "0"
360354 201165.83 17 "0"
1245426 235289.59 12 "0"
1620155 349648.32 15 "0"
-89289 -71905 11 "1"
275256 -4050 11 "1"
874027 162387 12 "0"
321936 181623 13 "0"
-24286 308573 13 "0"
3856720 538538.43 6 "1"
2259533 578142.45 8 "0"
220336 1294034.15 11 "0"
554953 1335886.52 11 "0"
887889 1179203 12 "0"
1214375 838670 29 "1"
850963 820149 31 "1"
2842509 2587875 34 "1"
462750 2545556 34 "1"
477518 1930169.95 35 "1"
3562085 2961504 35 "1"
3160409 167117 13 "1"
2054596 -57433 13 "1"
1030132 216337 14 "0"
2191003 193542 17 "0"
5676162 372041 17 "0"
681480 555768.21 16 "1"
194632 308673 16 "1"
8375405 64955.02 9 "0"
4744799 -23062.02 9 "0"
11288638 74486.53 9 "0"
5544151 83754.54 10 "1"
3277482 1290682.66 26 "1"
1742322 1364014.96 26 "1"
1306775 1533765 26 "1"
3857793 2511041 33 "1"
2971766 2177996 33 "1"
2896189 397597.42 18 "1"
1901283 564420.6 16 "1"
3624421 666060 16 "1"
13603427 2734566 29 "1"
16028413 1286806 28 "1"
5922232 2804094 29 "1"
4574796 2900210 29 "1"
-1095021 710727.37 85 "1"
5736258 1905278.97 90 "1"
4934160 3638038.15 91 "1"
5579062 4145459 93 "1"
5532019 337545.38 28 "1"
2636145 346495 32 "1"
7416954 -108494 2 "0"
4303237 -82202 2 "0"
5741351 2127418 26 "1"
909502 34137.34 35 "1"
1626361 27442.81 34 "1"
1151577 172236.1 39 "1"
-2782552 210539.54 25 "1"
3604026 1609213.99 29 "1"
3474224 2560378.16 29 "1"
3478872 4640428 35 "1"
33049 -11180.89 2 "0"
-111813 752022.21 20 "1"
1277676 1091377 16 "1"
